underlying,week_start,week_end,pnl,spot_start,spot_end,move_pct,trailing_vol,short_target,breached_short,breach_amount
XOM,2026-07-06,2026-07-10,39.97299999999814,136.44,138.88,0.017883318674875387,0.2312911304456922,133.13642437603,False,0.0
XOM,2026-07-13,2026-07-17,42.97049999999581,144.51,147.36,0.019721818559269414,0.27484139040850336,140.3521999376732,False,0.0
XOM,2026-07-20,2026-07-24,42.97049999999581,148.36,156.94,0.05783229981126977,0.2596798239400052,144.32690366139067,False,0.0
XOM,2026-07-27,2026-07-31,78.91249999999127,154.77,155.44,0.004329004329004248,0.2427315792562745,150.8372473938302,False,0.0
XOM,2026-08-03,2026-08-07,37.962999999988824,155.06,153.04,-0.01302721527150787,0.26710064487355495,150.72430943234397,False,0.0
XOM,2026-08-10,2026-08-14,47.96600000000035,159.79,160.1,0.001940046310782917,0.23875341756680024,155.7962326971666,False,0.0
XOM,2026-08-17,2026-08-21,52.958499999993364,161.46,165.11,0.022606218258392204,0.2476761572575402,157.27367720483497,False,0.0
XOM,2026-08-24,2026-08-28,-274.04349999999977,164.05,156.71,-0.044742456568119496,0.24597649106698702,159.8257131621301,True,3.115713162130106
WMT,2026-06-01,2026-06-05,13.980999999999767,114.6,118.88,0.03734729493891799,0.3259426196360823,110.68970670944803,False,0.0
WMT,2026-06-08,2026-06-12,17.986000000004424,119.83,121.04,0.010097638320954753,0.36139082057061095,115.29657703904233,False,0.0
WMT,2026-06-15,2026-06-18,17.987999999997555,120.82,117.18,-0.030127462340671964,0.3479889326817463,117.00830222583363,False,0.0
WMT,2026-06-22,2026-06-26,20.98649999999907,117.18,115.69,-0.012715480457416018,0.33861307671961444,113.0262458996932,False,0.0
WMT,2026-06-29,2026-07-02,11.98399999999674,114.6,111.84,-0.024083769633507775,0.2403748850757393,112.10260117890442,True,0.2626011789044185
WMT,2026-07-06,2026-07-10,36.97849999999744,110.65,113.9,0.029371893357433346,0.25124625480681595,107.73972131597463,False,0.0
WMT,2026-07-13,2026-07-17,32.98050000000512,114.78,114.24,-0.004704652378463201,0.2542900750497564,111.72452176953558,False,0.0
WMT,2026-07-20,2026-07-24,26.984499999991385,112.2,109.47,-0.02433155080213907,0.2604346867885467,109.14102979462841,False,0.0
WMT,2026-07-27,2026-07-31,29.979000000006636,111.74,111.2,-0.004832647216753106,0.24903452112251254,108.82692421224553,False,0.0
WMT,2026-08-03,2026-08-07,32.97950000000128,110.71,111.85,0.010297172793785572,0.22112869311453567,108.14719529035182,False,0.0
WMT,2026-08-10,2026-08-14,23.98200000000361,112.66,115.27,0.02316705130481093,0.20441827838440693,110.24913419742727,False,0.0
WMT,2026-08-17,2026-08-21,-376.1009999999951,114.33,103.7,-0.09297647161724827,0.20256112971540297,111.90562455086607,True,8.205624550866062
WMT,2026-08-24,2026-08-28,8.993499999996857,106.49,103.09,-0.031927880552164445,0.39051938446028883,102.13653570866148,False,0.0
COST,2026-06-01,2026-06-05,57.79200000000128,946.11,971.87,0.027227278012070467,0.27925091663632007,918.4520616899023,False,0.0
COST,2026-06-08,2026-06-12,140.78049999999348,974.75,982.35,0.007796870992562219,0.2733570112077116,946.8562422605476,False,0.0
COST,2026-06-15,2026-06-18,-305.150999999998,979.45,951.45,-0.028587472561131245,0.2616917093558272,956.212659078222,True,4.762659078221986
COST,2026-06-22,2026-06-26,63.78299999999581,951.35,952.54,0.001250854049508531,0.23032370563231042,928.411631508044,False,0.0
COST,2026-06-29,2026-07-02,141.77300000000105,946.68,951.67,0.005271052520387047,0.21736973512670882,928.0240884770816,False,0.0
COST,2026-07-06,2026-07-10,-381.30749999999534,950.25,916.25,-0.035780057879505396,0.19802650946235412,930.5509730610516,True,14.30097306105165
COST,2026-07-13,2026-07-17,35.802000000010594,926.43,940.87,0.015586714592575861,0.23678453517618703,903.4658958456349,False,0.0
COST,2026-07-20,2026-07-24,63.85199999999895,935.8,935.03,-0.0008228253900405876,0.2570839465365134,910.6150227722445,False,0.0
COST,2026-07-27,2026-07-31,24.80250000000524,951.58,951.89,0.0003257739759136861,0.2449857925122708,927.1755082156868,False,0.0
COST,2026-08-03,2026-08-07,101.73600000000442,954.08,947.82,-0.006561294650343777,0.2390410649873356,930.2051379732885,False,0.0
COST,2026-08-10,2026-08-14,186.716499999995,952.75,961.1,0.008764103909735001,0.18154851170119776,934.642636755565,False,0.0
COST,2026-08-17,2026-08-21,151.67699999999604,953.5,947.74,-0.006040901940220232,0.14771186896644664,938.7558529370584,False,0.0
COST,2026-08-24,2026-08-28,-355.2274999999936,971.4,945.47,-0.026693432159769354,0.18215351762274834,952.8766631282672,True,7.406663128267155
NFLX,2026-06-01,2026-06-05,-130.02999999999884,85.85,82.18,-0.042748980780430844,0.23717126573518035,83.71849706855424,True,1.5384970685542356
NFLX,2026-06-08,2026-06-12,-18.029999999998836,82.64,80.34,-0.027831558567279733,0.23390287830004167,80.61647097579052,True,0.2764709757905166
NFLX,2026-06-15,2026-06-18,-226.02099999999336,81.67,77.38,-0.05252846822578678,0.2077015953423871,80.13214077178242,True,2.752140771782422
NFLX,2026-06-22,2026-06-26,43.97200000000885,72.88,73.81,0.012760702524698228,0.2242757487249432,71.16890452577513,False,0.0
NFLX,2026-06-29,2026-07-02,31.980999999999767,73.78,77.65,0.05245323936026029,0.3350503569260986,71.53889125144467,False,0.0
